City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Atuona,PF,2022-03-18 20:47:35,-9.8,-139.0333,78.78,75,10,17.65
59,Hermanus,ZA,2022-03-18 20:47:33,-34.4187,19.2345,64.8,87,94,9.28
60,Mar Del Plata,AR,2022-03-18 20:48:00,-38.0023,-57.5575,60.82,59,40,15.01
61,Tuktoyaktuk,CA,2022-03-18 20:48:00,69.4541,-133.0374,-7.6,77,100,6.91
62,Shingu,JP,2022-03-18 20:48:00,33.7333,135.9833,50.72,88,22,6.24
63,Gat,IL,2022-03-18 20:45:00,31.61,34.7642,55.4,100,28,5.95
64,Irbit,RU,2022-03-18 20:48:01,57.6705,63.071,12.67,96,38,6.33
65,Sal Rei,CV,2022-03-18 20:48:01,16.1833,-22.9167,69.46,78,86,15.95
66,East London,ZA,2022-03-18 20:48:01,-33.0153,27.9116,70.68,86,65,9.98
67,Vestmanna,FO,2022-03-18 20:48:02,62.1564,-7.1664,47.32,87,100,23.02
68,Saskylakh,RU,2022-03-18 20:48:02,71.9167,114.0833,8.67,95,100,11.83
69,Dikson,RU,2022-03-18 20:48:02,73.5069,80.5464,19.54,86,70,17.54
70,Port Keats,AU,2022-03-18 20:48:03,-14.25,129.55,78.49,88,95,8.5
71,Bredasdorp,ZA,2022-03-18 20:48:03,-34.5322,20.0403,66.78,97,37,4.59
72,Torbay,CA,2022-03-18 20:45:16,47.6666,-52.7314,44.76,97,100,12.66
73,Cidreira,BR,2022-03-18 20:48:03,-30.1811,-50.2056,77.47,80,67,8.32
74,Nouadhibou,MR,2022-03-18 20:48:04,20.931,-17.0347,67.98,56,94,18.41
75,Kaohsiung,TW,2022-03-18 20:48:04,22.6163,120.3133,75.15,83,75,10.36
76,Kamina,CD,2022-03-18 20:48:04,-8.7386,24.9906,59.0,95,89,1.99
77,Thompson,CA,2022-03-18 20:47:38,55.7435,-97.8558,42.96,52,75,9.22
78,Chistogorskiy,RU,2022-03-18 20:48:05,53.9835,87.3843,-0.47,100,91,1.99
79,Kapit,MY,2022-03-18 20:48:05,2.0167,112.9333,73.4,100,100,0.72
80,Saint-Pierre,RE,2022-03-18 20:47:36,-21.3393,55.4781,78.48,87,0,3.44
81,Pevek,RU,2022-03-18 20:48:05,69.7008,170.3133,-17.7,90,9,8.72
82,New Norfolk,AU,2022-03-18 20:47:35,-42.7826,147.0587,46.71,75,26,1.88
83,Albany,US,2022-03-18 20:48:06,42.6001,-73.9662,71.38,48,67,0.81
84,Hobart,AU,2022-03-18 20:47:28,-42.8794,147.3294,47.05,90,20,8.05
85,Russell,US,2022-03-18 20:48:06,32.3502,-85.1999,58.15,94,100,6.91
86,Kavieng,PG,2022-03-18 20:48:06,-2.5744,150.7967,82.94,69,49,12.84
87,Avarua,CK,2022-03-18 20:43:17,-21.2078,-159.775,84.25,74,20,6.91
88,Okhotsk,RU,2022-03-18 20:48:07,59.3833,143.3,10.67,95,100,6.08
89,Zhezkazgan,KZ,2022-03-18 20:48:07,47.8043,67.7144,2.52,95,58,6.64
90,Moree,AU,2022-03-18 20:48:07,-29.4667,149.85,62.62,88,40,6.91
91,Golden,US,2022-03-18 20:43:18,39.7555,-105.2211,52.52,39,40,6.91
92,Nongpoh,IN,2022-03-18 20:48:07,25.9,91.8833,69.8,42,31,4.23
93,Vostok,RU,2022-03-18 20:48:08,46.4856,135.8833,1.33,99,99,3.18
94,Lebu,CL,2022-03-18 20:47:30,-37.6167,-73.65,57.97,61,96,17.05
95,Norman Wells,CA,2022-03-18 20:49:08,65.282,-126.8329,6.84,66,20,5.75
96,Reconquista,AR,2022-03-18 20:49:08,-29.15,-59.65,69.89,63,91,15.1
97,Ribeira Grande,PT,2022-03-18 20:49:09,38.5167,-28.7,54.0,54,75,21.85
98,Dingle,PH,2022-03-18 20:49:09,10.9995,122.6711,76.93,85,92,5.21
99,Bubaque,GW,2022-03-18 20:49:09,11.2833,-15.8333,76.64,70,0,17.13
100,Adrar,MR,2022-03-18 20:49:09,20.5022,-10.0711,71.2,24,4,8.97
101,Sakakah,SA,2022-03-18 20:49:10,29.9697,40.2064,54.97,32,0,2.73
102,Namatanai,PG,2022-03-18 20:49:10,-3.6667,152.4333,80.53,74,97,8.12
103,Mahebourg,MU,2022-03-18 20:47:32,-20.4081,57.7,78.26,94,20,3.44
104,Champerico,GT,2022-03-18 20:49:10,14.3,-91.9167,95.54,56,1,13.24
105,Khatanga,RU,2022-03-18 20:49:11,71.9667,102.5,20.86,96,100,9.82
106,Alofi,NU,2022-03-18 20:49:11,-19.0595,-169.9187,82.29,78,75,8.05
107,Esperance,AU,2022-03-18 20:49:11,-33.8667,121.9,69.64,84,100,14.52
108,Saint-Philippe,RE,2022-03-18 20:48:46,-21.3585,55.7679,78.39,87,81,3.15
109,Bethel,US,2022-03-18 20:47:33,41.3712,-73.414,74.01,46,0,9.22
110,Faya,SA,2022-03-18 20:48:41,18.3851,42.4509,59.11,70,8,2.46
