City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
585,Salamiyah,SY,52.79,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
595,Mao,ES,57.76,light rain,39.8885,4.2658,ARTIEM Capri
600,Bergama,TR,55.04,clear sky,39.1207,27.1805,Anil Hotel
601,Steubenville,US,37.69,overcast clouds,40.3698,-80.634,University hotel steubenville
603,Topolevo,RU,32.18,overcast clouds,48.4994,135.1975,Норд-Вест
609,Zhezkazgan,KZ,42.78,few clouds,47.8043,67.7144,Hotel Zumrat
618,Ocampo,MX,55.36,clear sky,21.65,-101.5,Hotel Estancia del Vaquero
620,Anderson,US,55.44,clear sky,34.5334,-82.6499,The Bleckley Inn
630,Pacifica,US,51.53,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
636,Changli,CN,48.85,overcast clouds,39.7042,119.1506,7Days Inn Qinhuangdao Changli Jieyang Street
642,Sorland,NO,33.66,light snow,67.667,12.6934,Sjybrygga fiskecamp
645,Cubuk,TR,42.89,broken clouds,40.2386,33.0322,Çubuk Öğretmenevi
656,Yunyang,CN,56.12,overcast clouds,33.4474,112.7142,Post & Telecom Hotel
671,Den Helder,NL,59.95,few clouds,52.9599,4.7593,Hotel Den Helder
674,Coquimbo,CL,58.73,overcast clouds,-29.9533,-71.3436,Hotel San Juan
676,Bud,US,35.89,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
679,Demir Hisar,MK,56.05,scattered clouds,41.2217,21.2031,Dezerto Hotel & Suites
681,Kurayoshi,JP,52.32,overcast clouds,35.4333,133.8167,Hotel Ark 21
685,Suffolk,US,52.99,scattered clouds,40.8668,-72.7996,Greenwood Village
689,Havre-Saint-Pierre,CA,32.36,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
690,Ponta Delgada,PT,57.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
